date,steps,distance,runDistance,calories
2024-12-01,6257,4589,324,167
2024-12-02,3435,2515,188,90
2024-12-03,8842,6515,435,227
2024-12-04,5697,4260,182,148
2024-12-05,3796,2631,99,93
2024-12-06,9002,6475,475,231
2024-12-07,8421,5940,703,217
2024-12-08,10886,7702,795,271
2024-12-09,8338,6100,272,218
2024-12-10,2815,2074,157,77
2024-12-11,11479,8667,394,309
2024-12-12,11600,8436,306,306
2024-12-13,8126,5808,572,210
2024-12-14,5267,3613,365,133
2024-12-15,812,531,98,27
2024-12-22,7316,5148,252,179
2024-12-23,1554,1016,163,41
2024-12-24,11816,8598,476,311
2024-12-25,7673,5215,143,175
2024-12-26,1301,851,147,35
2024-12-27,2748,1992,164,76
2024-12-28,5213,3677,28,128
2024-12-29,4718,3180,23,121
2024-12-30,8632,6705,264,236
2024-12-31,8130,6095,279,218
2025-01-01,666,436,75,21
2025-01-02,4045,2887,178,104
2025-01-03,4173,2969,122,108
2025-01-04,11243,8102,285,285
2025-01-05,10790,8032,24,287
2025-01-06,15417,11428,697,403
2025-01-07,9331,7267,19,453
2025-01-08,13218,9975,104,586
2025-01-09,8954,6544,508,234
2025-01-10,12754,9370,393,335
2025-01-11,7708,5364,327,188
2025-01-12,1381,903,117,34
2025-01-13,6113,4508,242,163
2025-01-14,3023,2219,184,86
2025-01-15,12061,9805,45,756
2025-01-16,13286,10275,10,919
2025-01-17,11811,9200,26,955
2025-01-18,3130,2155,605,77
2025-01-19,1577,1029,31,43
2025-01-20,3156,2098,288,82
2025-01-21,16013,12085,2644,482
2025-01-22,12728,9776,0,736
2025-01-23,14130,10774,0,918
2025-01-24,7926,5808,367,210
2025-01-25,19873,16328,6,1154
2025-01-26,3122,2045,7,73
2025-01-27,7322,5297,208,189
2025-01-28,5987,4314,102,150
2025-01-29,16282,12588,20,532
2025-01-30,6130,4374,106,153
2025-01-31,16674,12590,3434,1046
2025-02-01,8696,5909,249,599
2025-02-02,4346,3124,24,111
2025-02-03,3698,2683,0,101
2025-02-04,5926,4221,52,148
2025-02-05,5234,3835,34,145
2025-02-06,5947,4262,359,149
2025-02-07,5699,4208,165,150
2025-02-08,8125,5873,9,210
2025-02-09,3851,2696,292,104
2025-02-10,7568,5657,81,203
2025-02-11,5614,3934,86,129
2025-02-12,11512,8192,593,852
2025-02-13,5533,3851,200,478
2025-02-14,4883,3353,327,117
2025-02-15,6337,4469,7,157
2025-02-16,3861,2726,218,103
2025-02-17,5451,4006,0,139
2025-02-18,4636,3321,265,119
2025-02-19,7689,5561,350,196
2025-02-20,4728,3320,311,116
2025-02-21,7988,5687,415,208
2025-02-22,6915,4752,385,169
2025-02-23,5335,3678,321,129
2025-02-24,6007,4422,331,157
2025-02-25,5256,3751,93,134
2025-02-26,10907,7934,652,280
2025-02-27,8813,6456,382,229
2025-02-28,6637,4864,312,176
2025-03-01,7011,4979,418,171
2025-03-02,959,625,2,27
2025-03-03,1662,1090,121,41
2025-03-04,4118,2923,54,103
2025-03-05,6370,4586,194,164
2025-03-06,11669,8354,297,299
2025-03-07,11221,8065,54,276
2025-03-08,4664,3270,233,120
2025-03-09,3934,2729,6,100
2025-03-10,12281,9168,0,319
2025-03-11,4616,3268,109,115
2025-03-12,9812,7163,333,245
2025-03-13,3707,2670,194,96
2025-03-14,7977,5937,296,208
2025-03-15,7346,5341,39,184
2025-03-16,459,302,22,14
2025-03-17,8689,6276,160,226
2025-03-18,1209,791,121,31
2025-03-19,6540,4983,291,174
2025-03-20,3446,2442,127,87
2025-03-21,1174,768,83,30
2025-03-22,9504,6819,426,233
2025-03-23,2674,1901,0,72
2025-03-24,4269,2989,220,109
2025-03-25,7583,5666,388,203
2025-03-26,1216,795,87,28
2025-03-27,2270,1674,97,58
2025-03-28,6608,4785,280,161
2025-03-29,8810,6233,754,231
2025-03-30,6517,4577,647,167
2025-03-31,7127,5248,406,184
2025-04-01,6284,4527,333,153
2025-04-02,4492,3174,119,109
2025-04-03,890,582,56,18
2025-04-04,5825,4185,126,144
2025-04-05,12266,8843,350,296
2025-04-06,10594,7569,574,256
2025-04-07,6252,4677,139,166
2025-04-08,3939,2805,308,103
2025-04-09,2221,1557,159,55
2025-04-10,7171,5337,185,185
2025-04-11,5942,4160,312,136
2025-04-12,14943,10490,659,361
2025-04-13,11330,7963,356,278
2025-04-14,777,508,77,22
2025-04-15,5996,4406,333,153
2025-04-16,4882,3619,246,128
2025-04-17,1213,793,72,31
2025-04-18,1141,746,99,31
2025-04-19,5760,4189,27,146
2025-04-20,3597,2600,183,92
2025-04-21,3569,2617,224,93
2025-04-22,6037,4428,184,162
2025-04-23,1742,1219,25,49
2025-04-24,6985,5207,251,180
2025-04-25,5881,4125,460,146
2025-04-26,6801,4884,370,172
2025-04-27,8240,6203,374,220
2025-04-28,2579,1796,214,65
2025-04-29,1934,1402,181,50
2025-04-30,4922,3727,176,134
2025-05-01,6046,4560,364,160
2025-05-02,5545,3860,507,136
2025-05-03,11303,7991,476,277
2025-05-04,4480,3184,124,115
2025-05-05,5127,3864,172,134
2025-05-06,11045,7987,424,269
2025-05-07,6303,4671,218,159
2025-05-08,6858,5114,451,180
2025-05-09,3178,2315,181,83
2025-05-10,481,315,44,11
2025-06-05,3104,2265,143,81
2025-06-06,1566,1024,145,36
2025-06-07,6485,4791,420,171
2025-06-08,5572,4136,353,147
2025-06-09,5073,3826,184,131
2025-06-10,5607,4137,215,148
2025-06-11,1427,933,146,36
2025-06-12,3002,2216,189,79
2025-06-13,6196,4617,210,160
2025-06-14,5254,3782,428,142
2025-06-15,8279,6114,396,215
2025-06-16,1366,902,336,38
2025-06-17,7822,5759,451,200
2025-06-18,1855,1288,155,51
2025-06-19,630,412,103,19
2025-06-20,3557,2557,312,90
2025-06-21,8160,5982,367,204
2025-06-22,714,467,84,19
2025-06-23,8376,6306,371,221
2025-06-24,1033,676,122,30
2025-06-25,3002,2272,96,78
2025-06-26,783,512,94,22
2025-06-27,3481,2540,217,91
2025-06-28,7851,5848,239,200
2025-06-29,2320,1518,191,57
2025-06-30,5087,3775,220,132
2025-07-01,4838,3515,211,121
2025-07-02,4268,3055,259,108
2025-07-03,1823,1263,142,50
2025-07-04,4890,3495,355,122
2025-07-05,8466,6190,539,227
2025-07-06,2856,1984,301,74
2025-07-07,4451,3292,302,121
2025-07-08,3254,2352,162,84
2025-07-09,12953,9328,418,322
2025-07-10,11396,8692,458,302
2025-07-11,6825,4929,471,168
2025-07-12,6629,4840,367,172
2025-07-13,2824,1997,337,79
2025-07-14,5053,3638,374,129
2025-07-15,3229,2355,144,82
2025-07-16,872,570,122,24
2025-07-17,5378,3948,331,143
2025-07-18,10303,7560,469,253
2025-07-19,9934,7311,614,256
2025-07-20,9109,6390,438,224
2025-07-21,6246,4518,299,156
2025-07-22,6108,4435,424,161
2025-07-23,1061,694,133,31
2025-07-24,7664,5552,190,191
2025-07-25,5024,3703,195,128
2025-07-26,7141,5263,481,189
2025-07-27,5754,4219,286,150
2025-07-28,5242,3869,284,138
2025-07-29,5427,4065,261,143
2025-07-30,4059,2956,205,104
2025-07-31,4791,3419,302,119
2025-08-01,8980,6648,528,238
2025-08-02,3649,2619,229,94
2025-08-03,1062,694,152,32
2025-08-04,548,358,94,18
2025-08-05,4522,3241,314,112
2025-08-06,2852,2129,162,76
2025-08-07,10647,7666,387,268
2025-08-08,5126,3739,236,136
2025-08-09,10731,7903,452,266
2025-08-10,8444,6464,592,235
2025-08-11,3517,2491,402,88
2025-08-12,5070,3632,257,127
2025-08-13,6165,4576,403,163
2025-08-14,1087,711,135,31
2025-08-15,1480,1001,75,36
2025-08-16,5803,4158,180,141
2025-08-17,8349,6035,517,214
2025-08-18,9263,6909,368,240
2025-08-19,7132,5312,33,188
2025-08-20,3497,2485,119,87
2025-08-21,2382,1717,209,64
2025-08-22,5575,4080,265,140
2025-08-31,5504,4129,233,151
2025-09-01,6617,4829,406,172
2025-09-02,7301,5503,506,196
2025-09-03,5805,4345,133,154
2025-09-04,4948,3678,275,130
2025-09-05,3514,2528,248,89
2025-09-06,8438,5945,473,213
2025-09-07,6963,5092,448,178
2025-09-08,7367,5373,515,180
2025-09-09,6676,4964,329,174
2025-09-10,5847,4258,455,148
2025-09-11,1672,1095,192,40
2025-09-12,3450,2534,167,91
2025-09-13,7594,5509,488,188
2025-09-14,9679,7143,495,243
2025-09-15,4696,3393,523,124
2025-09-16,8285,6077,232,208
2025-09-17,7714,5523,495,195
2025-09-18,2412,1688,176,62
2025-09-19,6029,4417,414,159
2025-09-20,1974,1343,210,54
2025-09-21,1203,797,208,36
2025-09-22,7215,5305,209,184
2025-09-23,8159,5957,547,208
2025-09-24,5600,4090,289,141
2025-09-25,3248,2332,216,87
2025-09-26,2683,1967,109,74
2025-09-27,858,561,85,22
2025-09-28,2525,1757,205,65
2025-09-29,6314,4562,504,167
2025-09-30,4943,3558,431,126
2025-10-01,5904,4405,386,154
2025-10-02,1216,795,135,30
2025-10-03,2846,2040,139,72
2025-10-04,8264,6014,247,205
2025-10-05,2664,1791,364,72
2025-10-06,9710,7091,263,243
2025-10-07,7903,5729,352,201
2025-10-08,8298,6207,248,213
2025-10-09,5735,4200,259,145
2025-10-10,4238,3055,291,116
2025-10-11,7432,5180,239,175
2025-10-12,4424,3120,383,119
2025-10-13,8440,6208,357,214
2025-10-14,7426,5480,291,183
2025-10-15,1171,768,51,29
2025-10-16,3299,2406,153,85
2025-10-17,10021,7690,302,267
2025-10-18,7019,5088,262,183
2025-10-19,5854,4387,323,154
2025-10-20,8198,6025,430,207
2025-10-21,4703,3562,155,122
2025-10-22,12474,9513,547,325
2025-10-23,4462,3283,233,114
2025-10-24,3857,2813,118,98
2025-10-25,7830,5642,636,195
2025-10-26,3824,2692,383,103
2025-10-27,8397,6222,384,212
2025-10-28,3550,2563,177,91
2025-10-29,5509,3922,219,139
2025-10-30,2344,1712,104,62
2025-10-31,3830,2792,147,98
2025-11-01,1271,831,122,32
2025-11-02,3394,2470,146,87
2025-11-03,5602,4048,303,141
2025-11-04,5355,3974,233,141
2025-11-05,3463,2490,116,87
2025-11-06,1372,897,179,37
2025-11-07,6999,5342,155,183
2025-11-08,7543,5545,332,194
2025-11-09,2836,2060,161,76
2025-11-10,4874,3570,333,126
2025-11-11,9283,6902,414,236
2025-11-12,7072,5109,297,179
2025-11-13,3521,2516,160,94
2025-11-14,9702,7218,605,246
2025-11-15,6610,4713,46,168
2025-11-16,2859,1917,327,74
2025-11-17,5407,3997,75,142
2025-11-18,4967,3557,317,122
2025-11-19,3308,2392,10,82
2025-11-20,979,640,97,26
2025-11-21,3416,2496,177,89
2025-11-22,7462,5303,450,190
2025-11-23,8806,6629,348,232
2025-11-24,1216,795,158,36
2025-11-25,7600,5704,434,203
2025-11-26,6169,4527,580,162
2025-11-27,4673,3343,179,113
2025-11-28,5589,4133,288,141
2025-11-29,1597,1044,117,42
