date,deepSleepTime,shallowSleepTime,wakeTime,start,stop,REMTime,naps
2024-12-01,49,391,1,2024-12-01 05:19:00+0000,2024-12-01 12:40:00+0000,0,
2024-12-02,54,396,0,2024-12-02 02:27:00+0000,2024-12-02 09:57:00+0000,0,
2024-12-03,41,286,0,2024-12-03 03:37:00+0000,2024-12-03 09:04:00+0000,0,
2024-12-04,75,317,0,2024-12-04 03:09:00+0000,2024-12-04 09:41:00+0000,0,
2024-12-05,66,279,3,2024-12-05 04:17:00+0000,2024-12-05 10:05:00+0000,0,
2024-12-06,46,317,0,2024-12-06 03:42:00+0000,2024-12-06 09:45:00+0000,0,
2024-12-07,6,386,3,2024-12-07 04:36:00+0000,2024-12-07 11:11:00+0000,0,
2024-12-08,62,327,0,2024-12-08 05:02:00+0000,2024-12-08 11:31:00+0000,0,"[{\"start\":\"2024-10-04 00:39:31+0000\",\"end\":\"2024-10-04 00:39:58+0000\"}]"
2024-12-09,71,350,3,2024-12-09 04:58:00+0000,2024-12-09 12:02:00+0000,0,
2024-12-10,26,389,1,2024-12-10 03:07:00+0000,2024-12-10 10:03:00+0000,0,"[{\"start\":\"2024-10-04 00:36:24+0000\",\"end\":\"2024-10-04 00:37:42+0000\"},{\"start\":\"2024-10-04 00:37:43+0000\",\"end\":\"2024-10-04 00:38:08+0000\"},{\"start\":\"2024-10-04 00:38:09+0000\",\"end\":\"2024-10-04 00:38:09+0000\"}]"
2024-12-11,54,369,4,2024-12-11 03:31:00+0000,2024-12-11 10:38:00+0000,0,
2024-12-12,54,321,0,2024-12-12 03:47:00+0000,2024-12-12 10:02:00+0000,0,
2024-12-13,43,344,0,2024-12-13 03:39:00+0000,2024-12-13 10:06:00+0000,0,
2024-12-14,36,424,0,2024-12-14 05:26:00+0000,2024-12-14 13:06:00+0000,0,
2024-12-15,33,369,0,2024-12-15 05:38:00+0000,2024-12-15 12:20:00+0000,0,
2024-12-22,0,0,0,2024-12-22 03:00:00+0000,2024-12-22 03:00:00+0000,0,
2024-12-23,69,383,0,2024-12-23 03:29:00+0000,2024-12-23 11:01:00+0000,0,
2024-12-24,79,411,0,2024-12-24 03:28:00+0000,2024-12-24 11:38:00+0000,0,
2024-12-25,28,520,3,2024-12-25 04:27:00+0000,2024-12-25 13:38:00+0000,0,
2024-12-26,39,527,1,2024-12-26 01:51:00+0000,2024-12-26 11:18:00+0000,0,
2024-12-27,52,410,2,2024-12-27 02:53:00+0000,2024-12-27 10:37:00+0000,0,
2024-12-28,77,438,3,2024-12-28 03:16:00+0000,2024-12-28 11:54:00+0000,0,
